book_id,title,author_1_name,isbn,isbn13,rating,publisher,format,num_pages,publication_year,started_at,read_at,date_added,bookshelves,read_count,ficOrNonFic,SeriesOrStandalone,LGBTQIA_Characters
20763766,Information Doesn't Want to Be Free: Laws for the Internet Age,Cory Doctorow,1940450284,9781940450285,4.0,McSweeneys Books,Hardcover,162.0,2014.0,2016-09-30,2016-10-02,2016-09-30,,1,NonFiction,Standalone,No
24968342,"Nexus (Nexus, #1)",Ramez Naam,194294800X,9781942948001,0.0,Angry Robot,Kindle Edition,404.0,2012.0,,2016-05-01,2016-05-10,,1,Fiction,Series,No
39889,Grey Eminence,Aldous Huxley,0099477823,9780099477822,5.0,Vintage / Random House London,Paperback,297.0,1941.0,2016-06-01,2016-09-05,2016-06-01,,1,NonFiction,Standalone,No
23862104,The Complete Short Stories: Volume 2,J.G. Ballard,0007513615,9780007513611,5.0,Fourth Estate,Kindle Edition,784.0,2006.0,,2016-08-19,2016-06-01,,1,Fiction,Standalone,No
19285527,"The Complete Short Stories, Volume 1",J.G. Ballard,0007369387,9780007369386,5.0,Fourth Estate,Kindle Edition,801.0,2006.0,,2016-07-30,2016-06-01,,1,Fiction,Standalone,No
11248192,The Kraken Wakes,John Wyndham,,,5.0,,Kindle Edition,271.0,1953.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
27985224,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,0349411913,,4.0,Piatkus,Kindle Edition,305.0,2016.0,,2016-01-01,2016-05-10,,1,NonFiction,Standalone,No
20511229,The City & The City,China Miéville,1743032994,9781743032992,4.0,Macmillan,Kindle Edition,358.0,2009.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
23609640,A Scanner Darkly,Philip K. Dick,1473206715,9781473206717,5.0,Gateway,Kindle Edition,307.0,1977.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
18581690,"The Gervais Principle: The Complete Series, with a Bonus Essay on Office Space (Ribbonfarm Roughs)",Venkatesh G. Rao,0982703031,,4.0,"Ribbonfarm, Inc.",Kindle Edition,171.0,2013.0,,2016-02-01,2016-05-10,,1,NonFiction,Standalone,No
19815867,Post-Capitalist Society,Peter F. Drucker,,,4.0,Routledge,Kindle Edition,217.0,1993.0,,2016-02-01,2016-05-10,,1,NonFiction,Standalone,No
19458297,High-Rise,J.G. Ballard,,,5.0,Fourth Estate,ebook,258.0,1975.0,,2016-02-01,2016-05-10,,1,Fiction,Standalone,No
12952273,Race Against The Machine,Erik Brynjolfsson,0984725105,9780984725106,3.0,Digital Frontier Press,Kindle Edition,98.0,2011.0,,2016-03-01,2015-08-26,,1,NonFiction,Standalone,No
25124603,Satin Island,Tom McCarthy,,,4.0,Vintage Digital,Kindle Edition,210.0,2015.0,,2016-02-01,2016-05-10,,1,Fiction,Standalone,No
23969628,The Mysterious Island (Illustrated),Jules Verne,,,4.0,,Kindle Edition,802.0,1875.0,,2016-04-01,2016-05-10,,1,Fiction,Standalone,No
13642710,"Nexus (Nexus, #1)",Ramez Naam,0857662937,9780857662934,4.0,Angry Robot,Paperback,460.0,2012.0,,2016-05-01,2016-06-01,,1,Fiction,Series,No
25495628,"Apex (Nexus, #3)",Ramez Naam,,,4.0,Angry Robot,Kindle Edition,608.0,2015.0,,2016-05-22,2016-06-01,,1,Fiction,Series,No
11324762,Concrete Island,J.G. Ballard,0007321589,9780007321582,5.0,Fourth Estate,Kindle Edition,208.0,1974.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
19862994,The Moon is a Harsh Mistress,Robert A. Heinlein,,,4.0,Hodderscape,Kindle Edition,386.0,1966.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
18889563,"Flow, My Tears, the Policeman Said.",Philip K. Dick,0575098295,,5.0,Gateway/Gollancz,Kindle Edition,259.0,1974.0,,2015-01-01,2016-05-10,,1,Fiction,Standalone,No
19316760,Zodiac,Neal Stephenson,,,4.0,Cornerstone Digital,Kindle Edition,340.0,1988.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
890114,What Sort of People Should There Be?,Jonathan Glover,0140222243,9780140222241,5.0,Penguin Books,Paperback,192.0,1984.0,,2011-01-01,2014-12-31,,1,NonFiction,Standalone,No
8293754,Engineering Mathematics,K.A. Stroud,0333620224,9780333620229,3.0,Macmillan Press,Paperback,1000.0,1982.0,,1998-01-01,2014-06-13,,1,NonFiction,Standalone,No
19321490,A History of the Future in 100 Objects,Adrian Hon,,,5.0,,Kindle Edition,343.0,2013.0,,2014-01-01,2014-12-31,,1,Fiction,Standalone,No
18937,In the Beginning...Was the Command Line,Neal Stephenson,0380815931,9780380815937,5.0,Avon and William Morrow,Paperback,151.0,1999.0,,2007-01-01,2014-06-13,,1,NonFiction,Standalone,No
320553,Notes on the Synthesis of Form,Christopher W. Alexander,0674627512,9780674627512,5.0,Harvard University Press,Paperback,224.0,1964.0,,2007-01-01,2014-06-13,,1,NonFiction,Standalone,No
320993,The Case against Perfection: Ethics in the Age of Genetic Engineering,Michael J. Sandel,067401927X,9780674019270,0.0,Belknap Press of Harvard University Press,Hardcover,176.0,2007.0,,2010-01-01,2014-06-13,,1,NonFiction,Standalone,No
22743491,California,Edan Lepucki,1405525827,9781405525824,3.0,"Little, Brown Book Group",Kindle Edition,401.0,2014.0,,2014-01-01,2014-12-31,,1,Fiction,Standalone,No
22754934,The Peripheral (Jackpot #1),William Gibson,,,4.0,Penguin,ebook,490.0,2014.0,,2014-01-01,2014-12-31,,1,Fiction,Series,No
22011085,The Life-Changing Magic of Tidying,Marie Kondō,,,5.0,Ebury Digital,Kindle Edition,256.0,2010.0,,2015-01-01,2016-05-10,,1,NonFiction,Standalone,No
24792435,Seveneves,Neal Stephenson,,,5.0,The Borough Press,Kindle Edition,881.0,2015.0,,2015-01-01,2016-05-10,,1,Fiction,Standalone,No
23211016,The Epic Struggle of the Internet of Things,Bruce Sterling,,,5.0,Strelka Press,Kindle Edition,30.0,2014.0,,2014-01-01,2014-12-31,,1,NonFiction,Standalone,No
10856732,The Day of the Triffids,John Wyndham,,,5.0,RosettaBooks,Kindle Edition,256.0,1951.0,,2015-01-01,2016-05-10,,1,Fiction,Standalone,No
13095682,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,Robert M. Pirsig,,,5.0,Vintage Digital,Kindle Edition,404.0,1974.0,,2015-01-01,2016-05-10,,1,NonFiction,Standalone,No
21480734,Dataclysm: Who We Are (When We Think No One's Looking),Christian Rudder,0385347375,9780385347372,5.0,Crown,Hardcover,304.0,2014.0,,2015-01-01,2014-12-31,,1,NonFiction,Standalone,No
27844376,Future Visions: Original Science Fiction Inspired by Microsoft,Jennifer Henshaw,,,4.0,Melcher Media Inc,Kindle Edition,224.0,2015.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
26887840,Bitch Planet #1,Kelly Sue DeConnick,,,3.0,Image,Kindle Edition,28.0,2014.0,,2015-01-01,2016-05-10,,1,Fiction,Series,No
26242476,Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,,,4.0,Cornerstone Digital,Kindle Edition,354.0,2015.0,,2015-01-01,2016-05-10,,1,NonFiction,Standalone,No
24352054,NECRONOMICUM #1 (NECRONOMICUM: The Magazine of Weird Erotica),Ramsey Campbell,1927673046,9781927673041,3.0,Martian Migraine Press,Kindle Edition,74.0,2014.0,,2015-01-01,2016-05-10,,1,Fiction,Standalone,No
25831873,Accessing the Future: A Disability-Themed Anthology of Speculative Fiction,Kathryn Allan,0957397550,9780957397552,3.0,Futurefire.net Publishing,Kindle Edition,246.0,2015.0,,2015-01-01,2016-05-10,,1,Fiction,Standalone,No
6641952,The Cathedral & the Bazaar: Musings on Linux and Open Source by an Accidental Revolutionary,Eric S. Raymond,,,5.0,O'Reilly Media,Kindle Edition,258.0,1999.0,,2015-01-01,2014-12-31,,1,NonFiction,Standalone,No
28803370,A Girl Corrupted by the Internet is the Summoned Hero?!,Eliezer Yudkowsky,,,3.0,,Kindle Edition,80.0,2016.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,0932633439,9780932633439,4.0,Dorset House,Paperback,245.0,1987.0,,2014-01-01,2013-04-21,,1,NonFiction,Standalone,No
11280620,Ubik,Philip K. Dick,0575097957,9780575097957,5.0,Hachette UK,Kindle Edition,226.0,1969.0,,2016-01-01,2016-05-10,,1,Fiction,Standalone,No
6565257,Hackers & Painters: Big Ideas from the Computer Age,Paul Graham,059610636X,9780596106362,5.0,O'Reilly Media,Kindle Edition,314.0,2004.0,,2015-01-01,2016-05-10,,1,NonFiction,Standalone,No
6571744,Influence: The Psychology of Persuasion (Collins Business Essentials Book 16),Robert B. Cialdini,,,4.0,HarperCollins,Kindle Edition,334.0,1984.0,,2015-01-01,2016-05-10,,1,NonFiction,Standalone,No
7640261,Sex at Dawn: The Prehistoric Origins of Modern Sexuality,Christopher Ryan,,,4.0,HarperCollins,Hardcover,416.0,2010.0,,,2013-04-21,,1,NonFiction,Standalone,No
4948,The Very Hungry Caterpillar,Eric Carle,0241003008,9780241003008,5.0,Puffin Books,Board book,26.0,1969.0,,,2016-05-10,,1,Fiction,Standalone,No
